NEO_id,NEO_name,miss_distance,orbit_date
3976530,(2020 AM1),23884049.19147211,2020-01-01
3942362,(2019 YK),5390966.393620589,2020-01-01
3893737,(2019 WE5),20137982.751645297,2020-01-01
3976578,(2020 AE2),35476716.41533804,2020-01-01
3591759,(2011 YE40),9623911.862060713,2020-01-01
3747497,(2016 EF195),41620907.680494376,2020-01-01
3564720,(2011 HS60),29752373.442310072,2020-01-01
3976542,(2020 AY1),3166038.726680366,2020-01-01
3971141,(2019 YO6),46859076.41039418,2020-01-02
3986810,(2020 BK2),23948871.38468266,2020-01-02
